interf_type,anchor_Q1,anchor_Q3,anchor_accession,anchor_name,interf_accession,interf_name,source_area,source_rt,interf_area,interf_rt,transition_similarity,transition_ratio
isomer,189.1,84,HMDB0000446,N-alpha-Acetyl-L-lysine,HMDB0000206,N6-Acetyl-L-lysine,1503996.462101,5.78,1730713.78706292,5.78,0.999996478424496,1.150743
isobar,189.1,84,HMDB0000206,N6-Acetyl-L-lysine,HMDB0006029,N-Acetylglutamine,193676.295311008,5.277,106664.366405984,5.277,0.999996108672777,0.5507353
isomer,138.1,78,HMDB0029806,Methyl nicotinate,HMDB0000875,Trigonelline,4102586.51787186,5.717,1125850.11568801,5.717,0.99999531651561,0.2744245
isobar,145,101,HMDB0000208,Oxoglutaric acid,HMDB0000752,Methylglutaric acid,205941.335634179,5.432,207908.823578876,5.432,0.999994371439,1.009554
isobar,145,101,HMDB0000208,Oxoglutaric acid,HMDB0000422,2-Methylglutaric acid,146743.618862046,5.432,147095.190824302,5.432,0.999993356733125,1.002396
isotope,190.1,130,HMDB0029738,Indole-3-methyl acetate,HMDB0000446,N-alpha-Acetyl-L-lysine,1313075.08561955,6.031,12402.5961342889,6.031,0.999993002276963,0.009445458
isomer,145.1,101,HMDB0000422,2-Methylglutaric acid,HMDB0000752,Methylglutaric acid,205941.335634179,5.432,184876.820637812,5.432,0.99999001632773,0.8977159
isomer,132.1,86,HMDB0000172,L-Isoleucine,HMDB0000687,L-Leucine,369858.563723579,5.34,399309.295441239,5.34,0.999988959031041,1.079627
isotope,173.1,131,HMDB0003357,N2-Acetylornithine,HMDB0011756,N-Acetylleucine,1077234.94837155,4.553,68684.7933949163,4.553,0.999988729047765,0.06376027
isomer,189.1,84,HMDB0000206,N6-Acetyl-L-lysine,HMDB0000446,N-alpha-Acetyl-L-lysine,1313075.08561955,6.031,1100568.62848976,6.031,0.999988319167518,0.8381612
isomer,131,87,HMDB0000661,Glutaric acid,HMDB0001844,Methylsuccinic acid,116795.591447069,5.37,210453.160264928,5.37,0.999987786587156,1.801893
isotope,182.1,136,HMDB0000158,L-Tyrosine,HMDB0003269,Nicotinuric acid,3692421.45347001,5.089,332332.323592013,5.089,0.999987016936228,0.0900039
isobar,190.1,130,HMDB0029738,Indole-3-methyl acetate,HMDB0001138,N-Acetyl-L-glutamic acid,124459.515815366,5.466,55650.4588928773,5.466,0.999986683111297,0.447137
isomer,151.1,89,HMDB0000508,Ribitol,HMDB0002917,D-Xylitol,43244.8398784081,5.558,43436.087244328,5.558,0.999985749464475,1.004422
isomer,132.1,86,HMDB0000687,L-Leucine,HMDB0000172,L-Isoleucine,385608.817603357,5.466,382311.594974242,5.466,0.99998404432167,0.9914493
isobar,131,87,HMDB0011733,Glycyl-glycine,HMDB0001844,Methylsuccinic acid,116795.591447069,5.37,204753.73244245,5.37,0.999977557557399,1.753095
isomer,90.1,44,HMDB0000271,Sarcosine,HMDB0000161,L(D)-Alanine,67672.8858790775,5.9995,76348.3055616158,5.968,0.99996935740318,1.128196
isobar,115,71,HMDB0000176,Maleic acid,HMDB0000720,Levulinic acid,40779.5921885986,4.867,42077.0008581028,4.867,0.999964463076947,1.031815
isomer,145.1,101,HMDB0000752,Methylglutaric acid,HMDB0000422,2-Methylglutaric acid,146743.618862046,5.432,147901.790658836,5.432,0.999961231785382,1.007892
isomer,124,80,HMDB0001488,Nicotinic acid,HMDB0060665,Isonicotinic acid,629451.31466127,4.837,640282.15496542,4.837,0.999957578319164,1.017207
isomer,104.1,58,HMDB0001906,2-Aminoisobutyric acid,HMDB0000092,Dimethylglycine,342918.316097862,5.717,74647.3437390087,5.717,0.999953530466705,0.2176826
