"","accession","sample_name","rt","centwave","matchfilter","peak_id","inten","expected_peak"
"1","HMDB0000005","L23_c1011",3.987,15790.6204,13311.3828571429,376,15790.6204,TRUE
"2","HMDB0000008","L23_c23",4.302,99745.6877999999,77435.6027999998,598,99745.6877999999,TRUE
"3","HMDB0000008","L24_c89",4.741,52133.1392500001,52028.1044,644,52133.1392500001,TRUE
"4","HMDB0000011","L24_c45",4.993,6422.82945454546,6327.9792,788,6422.82945454546,TRUE
"5","HMDB0000012","L22_c45",4.7095,35980.4802352941,35548.3168,887,35980.4802352941,TRUE
"6","HMDB0000019","L23_c23",3.296,7498.48072727272,5256.046,1359,7498.48072727272,TRUE
"7","HMDB0000021","L26_c89",5.34,863871.616,856687.77,1641,863871.616,TRUE
"8","HMDB0000026","L23_c23",5.403,10133.5336,10081.827,1722,10133.5336,TRUE
"9","HMDB0000030","L21_c67",5.026,2665544.37263636,2620743.3,1821,2665544.37263636,TRUE
"10","HMDB0000034","L24_c45",4.963,1657295.27945454,1646117.928,2284,1657295.27945454,TRUE
"11","HMDB0000045","L22_c45",5.56,3582367.7844,3289132.7928,2995,3582367.7844,TRUE
"12","HMDB0000045","L24_c45",5.56,3875749.7746875,3535732.8812,3067,3875749.7746875,TRUE
"13","HMDB0000050","L21_c23",5.026,2543156.2732,2540620.908,3161,2543156.2732,TRUE
"14","HMDB0000054","L27_c45",2.639,883575.796363637,822113.603,3622,883575.796363637,TRUE
"15","HMDB0000056","L26_c67",6.031,7608.6596,7380.89099999999,3885,7608.6596,TRUE
"16","HMDB0000060","L24_c1011",4.553,1926.63363636364,1234.2925,4116,1926.63363636364,TRUE
"17","HMDB0000062","L21_c45",5.968,2916460.858,2877788.1456,4259,2916460.858,TRUE
"18","HMDB0000064","L26_c67",5.968,1516302.4204,1497977.6635,4595,1516302.4204,TRUE
"19","HMDB0000064","L26_c89",5.968,1785875.30309091,1768333.905,4596,1785875.30309091,TRUE
"20","HMDB0000071","L21_c89",5.024,998563.791529411,996954.6472,4620,998563.791529411,TRUE
