interf_type,anchor_Q1,anchor_Q3,anchor_accession,anchor_name,interf_accession,interf_name,source_area,source_rt,interf_area,interf_rt,transition_similarity,transition_ratio
isobar,138.1,121,HMDB0000306,Tyramine,HMDB0015687,Salicylamide,1257011.03694723,2.05,734575.365081599,2.05,0.99999173585609,0.5843826
isobar,145,101,HMDB0000208,Oxoglutaric acid,HMDB0000422,2-Methylglutaric acid,897715.965376924,9.958,853638.80433671,9.958,0.999945922184466,0.9509008
isomer,159.1,97,HMDB0000857,Pimelic acid,HMDB0000555,3-Methyladipic acid,502845.521646081,9.734,503682.35133801,9.734,0.999932926759988,1.001664
isobar,145,101,HMDB0000208,Oxoglutaric acid,HMDB0000752,Methylglutaric acid,935329.714564678,10.022,1018693.55127362,10.022,0.999931296677313,1.089128
isomer,132.1,86,HMDB0000687,L-Leucine,HMDB0000172,L-Isoleucine,1360485.92369781,7.27,1349359.43578965,7.27,0.999928459230416,0.9918217
isomer,145.1,101,HMDB0000752,Methylglutaric acid,HMDB0000422,2-Methylglutaric acid,897715.965376924,9.958,913448.515807512,9.958,0.999928394307948,1.017525
isobar,179,135,HMDB0001964,Caffeic acid,HMDB0011751,3-Methoxybenzenepropanoic acid,705466.524782569,3.104,191767.143841918,3.104,0.999923509566002,0.2718303
isobar,120,74,HMDB0001147,Aminomalonic acid,HMDB0000719,L-Homoserine,139723.725256425,9.223,340257.497766626,9.223,0.999922652910326,2.435216
isobar,138.1,121,HMDB0015687,Salicylamide,HMDB0000306,Tyramine,1122480.26377196,8.391,647834.949595341,8.391,0.999917223016688,0.577146
isomer,189.1,84,HMDB0000206,N6-Acetyl-L-lysine,HMDB0000446,N-alpha-Acetyl-L-lysine,3933153.20765243,9.223,3107229.17118963,9.223,0.999894421170067,0.7900097
isobar,115,71,HMDB0000176,Maleic acid,HMDB0000720,Levulinic acid,619916.650900505,6.179,652423.432150666,6.179,0.999894144869722,1.052437
isomer,145.1,101,HMDB0000422,2-Methylglutaric acid,HMDB0000752,Methylglutaric acid,935329.714564678,10.022,944996.293922938,10.022,0.999892606393809,1.010335
isomer,115,71,HMDB0000019,alpha-Ketoisovaleric acid,HMDB0000720,Levulinic acid,619916.650900505,6.179,564932.019187248,6.179,0.999890162382361,0.9113032
isobar,131,87,HMDB0011733,Glycyl-glycine,HMDB0001844,Methylsuccinic acid,774636.003716553,10.118,1195381.59485199,10.118,0.999889007507284,1.543153
isobar,131,87,HMDB0000223,Oxalacetic acid,HMDB0001844,Methylsuccinic acid,774636.003716553,10.118,1060271.31773635,10.118,0.999887370667523,1.368735
isomer,129,85,HMDB0000634,Citraconic acid,HMDB0002092,Itaconic acid,327002.220661836,10.406,846799.167618721,10.406,0.99987070541209,2.589582
isomer,167,123,HMDB0029644,"2',4',6'-Trihydroxyacetophenone",HMDB0000130,Homogentisic acid,2180712.4673548,6.948,1547615.4851668,6.948,0.999846576339624,0.7096834
isobar,181.1,59,HMDB0000423,"3,4-Dihydroxyhydrocinnamic acid",HMDB0000765,Mannitol,237208.616425599,8.453,266134.654568111,8.453,0.999844718911158,1.121943
isobar,145.1,101,HMDB0000422,2-Methylglutaric acid,HMDB0000208,Oxoglutaric acid,660176.418177173,10.855,138670.744424663,10.855,0.999839443734181,0.210051
isomer,193,59,HMDB0002545,Galacturonic acid,HMDB0000127,D-Glucuronic acid,370124.541380393,10.406,382316.498300466,10.406,0.999833571173839,1.03294
isomer,90.1,44,HMDB0000161,L(D)-Alanine,HMDB0000271,Sarcosine,108314.522783026,8.583,96514.2730963701,8.583,0.999802679710349,0.8910557
isobar,191.1,85,HMDB0003072,Quinic acid,HMDB0000193,Isocitric acid,320921.706691454,12.52,209325.325447515,12.52,0.999799809472515,0.6522629
isomer,120.1,56,HMDB0000167,L-Threonine,HMDB0000719,L-Homoserine,139723.725256425,9.223,127583.932375144,9.223,0.999791752124579,0.9131157
isobar,115,71,HMDB0000720,Levulinic acid,HMDB0000176,Maleic acid,1980903.51007616,5.346,1838343.51789875,5.346,0.999785891602389,0.9280328
isobar,189.1,130,HMDB0006029,N-Acetylglutamine,HMDB0000446,N-alpha-Acetyl-L-lysine,3933153.20765243,9.223,278962.201082739,9.223,0.999777059431541,0.07092584
isomer,173,85,HMDB0000958,trans-Aconitic acid,HMDB0000072,cis-Aconitic acid,2536588.9350734,12.04,2085346.20315163,12.04,0.999773667298406,0.8221065
isomer,137,93,HMDB0001895,Salicylic acid,HMDB0000500,4-Hydroxybenzoic acid,647706.499092129,7.652,644182.106154883,7.652,0.999768102363753,0.9945587
isomer,159.1,115,HMDB0002441,"3,3-Dimethylglutaric acid",HMDB0000555,3-Methyladipic acid,502845.521646081,9.734,470332.874476658,9.734,0.999760743873409,0.9353427
isobar,147.1,84,HMDB0000182,L-Lysine,HMDB0000641,L-Glutamine,1339403.06696519,9.351,1349865.15944868,9.351,0.999754888969919,1.007811
isobar,115,71,HMDB0000019,alpha-Ketoisovaleric acid,HMDB0000134,Fumaric acid,102967.41799438,11.047,114091.781883841,11.047,0.999752911584943,1.108038
isomer,124,80,HMDB0001488,Nicotinic acid,HMDB0060665,Isonicotinic acid,1220558.57879503,6.213,1209538.90683197,6.213,0.999729480152579,0.9909716
isomer,189.1,84,HMDB0000446,N-alpha-Acetyl-L-lysine,HMDB0000206,N6-Acetyl-L-lysine,2921185.43370404,8.327,3509101.7315958,8.327,0.999727416340938,1.201259
isotope,152,108,HMDB0001476,3-Hydroxyanthranilic acid,HMDB0000669,ortho-Hydroxyphenylacetic acid,13868641.6543864,3.265,1090688.17839604,3.265,0.999727216293849,0.0786442
isomer,117,73,HMDB0000254,Succinic acid,HMDB0000202,Methylmalonic acid,412589.139806222,10.086,419665.692301829,10.086,0.999723368771354,1.017152
isotope,167,123,HMDB0000130,Homogentisic acid,HMDB0000232,Quinolinic acid,1214786.62243846,10.598,84849.6162491082,10.598,0.999708168310046,0.06984734
isobar,146.1,87,HMDB0003464,4-Guanidinobutanoic acid,HMDB0000895,Acetylcholine,28455541.3174458,5.6045,13685231.8002604,5.6045,0.999708065826469,0.4809338
isobar,190.1,84,HMDB0001138,N-Acetyl-L-glutamic acid,HMDB0000679,Homocitrulline,345302.326537134,9.351,623772.128935193,9.351,0.999703398910555,1.806452
isomer,103,57,HMDB0000729,alpha-Hydroxyisobutyric acid,HMDB0000008,2-Hydroxybutyric acid,553434.469165846,6.275,578636.017996993,6.275,0.999701742666884,1.045537
isomer,103,57,HMDB0000008,2-Hydroxybutyric acid,HMDB0000729,alpha-Hydroxyisobutyric acid,912971.00856169,6.243,890963.163858313,6.243,0.999698888329694,0.9758943
isomer,131.1,85,HMDB0000746,Hydroxyisocaproic acid,HMDB0001624,2-Hydroxycaproic acid,5653149.49884565,3.425,5965612.60485346,3.425,0.999694304631989,1.055272
isotope,191.1,174,HMDB0004095,5-Methoxytryptamine,HMDB0000679,Homocitrulline,345302.326537134,9.351,149800.866584982,9.351,0.99968651203337,0.4338252
isobar,189.1,84,HMDB0000206,N6-Acetyl-L-lysine,HMDB0006029,N-Acetylglutamine,877286.629220508,8.199,496303.694981942,8.199,0.999683559508629,0.5657258
isobar,173.1,58,HMDB0006028,N-Acetylasparagine,HMDB0003357,N2-Acetylornithine,1342421.67090237,9.317,127421.98229505,9.317,0.999680989288514,0.09491949
