interf_type,anchor_Q1,anchor_Q3,anchor_accession,anchor_name,interf_accession,interf_name,source_area,source_rt,interf_area,interf_rt,transition_similarity,transition_ratio,normalized_overlap,interf_ratio,interf_level,anchor_rt
isomer,159.1,97,HMDB0000857,Pimelic acid,HMDB0000555,3-Methyladipic acid,502845.521646081,9.734,503682.35133801,9.734,0.999932926759988,1.001664,0.969659991083284,0.915928368924821,severe,9.702
isomer,132.1,86,HMDB0000687,L-Leucine,HMDB0000172,L-Isoleucine,1360485.92369781,7.27,1349359.43578965,7.27,0.999928459230416,0.9918217,0.181145485018526,1.04062877561447,severe,7.014
isomer,145.1,101,HMDB0000752,Methylglutaric acid,HMDB0000422,2-Methylglutaric acid,897715.965376924,9.958,913448.515807512,9.958,0.999928394307948,1.017525,0.613416165455094,0.976605897988231,severe,10.022
isomer,145.1,101,HMDB0000422,2-Methylglutaric acid,HMDB0000752,Methylglutaric acid,935329.714564678,10.022,944996.293922938,10.022,0.999892606393809,1.010335,0.619354898634853,1.0526673584625,severe,9.958
isobar,181.1,59,HMDB0000423,"3,4-Dihydroxyhydrocinnamic acid",HMDB0000765,Mannitol,237208.616425599,8.453,266134.654568111,8.453,0.999844718911158,1.121943,0.0905220009384081,0.734377878720821,severe,7.972
isomer,193,59,HMDB0002545,Galacturonic acid,HMDB0000127,D-Glucuronic acid,370124.541380393,10.406,382316.498300466,10.406,0.999833571173839,1.03294,0.832091138273519,0.789678281742713,severe,10.534
isomer,90.1,44,HMDB0000161,L(D)-Alanine,HMDB0000271,Sarcosine,108314.522783026,8.583,96514.2730963701,8.583,0.999802679710349,0.8910557,0.0513121477205964,0.941287722813112,severe,8.967
isomer,120.1,56,HMDB0000167,L-Threonine,HMDB0000719,L-Homoserine,139723.725256425,9.223,127583.932375144,9.223,0.999791752124579,0.9131157,0.587011848386953,1.52546582398643,severe,9.095
isomer,124,80,HMDB0001488,Nicotinic acid,HMDB0060665,Isonicotinic acid,1220558.57879503,6.213,1209538.90683197,6.213,0.999729480152579,0.9909716,0.983540264438502,0.705162085528935,severe,6.181
isomer,117,73,HMDB0000254,Succinic acid,HMDB0000202,Methylmalonic acid,412589.139806222,10.086,419665.692301829,10.086,0.999723368771354,1.017152,0.0383320249024144,2.62283373453174,severe,10.534
isomer,103,57,HMDB0000729,alpha-Hydroxyisobutyric acid,HMDB0000008,2-Hydroxybutyric acid,553434.469165846,6.275,578636.017996993,6.275,0.999701742666884,1.045537,0.955467436740683,0.633794515456286,severe,6.243
isomer,103,57,HMDB0000008,2-Hydroxybutyric acid,HMDB0000729,alpha-Hydroxyisobutyric acid,912971.00856169,6.243,890963.163858313,6.243,0.999698888329694,0.9758943,0.951061280084367,1.60988014570397,severe,6.307
isomer,131.1,85,HMDB0000746,Hydroxyisocaproic acid,HMDB0001624,2-Hydroxycaproic acid,5653149.49884565,3.425,5965612.60485346,3.425,0.999694304631989,1.055272,0.730709574638239,0.93836635570784,severe,3.553
isobar,189.1,84,HMDB0000206,N6-Acetyl-L-lysine,HMDB0006029,N-Acetylglutamine,877286.629220508,8.199,496303.694981942,8.199,0.999683559508629,0.5657258,0.547570734402192,0.16989804524413,slight,8.327
isomer,131,87,HMDB0001844,Methylsuccinic acid,HMDB0000661,Glutaric acid,372725.434807238,10.342,223606.898312915,10.342,0.999675863135461,0.5999239,0.0981294513073486,0.288660606065419,slight,10.118
isomer,141,53,HMDB0002349,trans-trans-Muconic acid,HMDB0006331,"cis,cis-Muconic acid",116157.265265896,10.855,119064.795314585,10.855,0.999671542638119,1.025031,0.286062173433795,0.769361918872118,severe,10.662
isomer,159.1,97,HMDB0000555,3-Methyladipic acid,HMDB0000857,Pimelic acid,549914.565840194,9.702,555915.58351363,9.702,0.999658865637604,1.010913,0.962511059124788,1.10553949390624,severe,9.734
isomer,117.1,71,HMDB0001987,2-Hydroxy-2-methylbutyric acid,HMDB0000407,2-Hydroxy-3-methylbutyric acid,2355307.70156582,4.45,2323355.82496686,4.45,0.999655857374052,0.9864341,0.528289509718639,1.17875369506017,severe,4.706
isobar,131,87,HMDB0000223,Oxalacetic acid,HMDB0011733,Glycyl-glycine,330565.387899828,9.317,287805.883590407,9.317,0.999635869128708,0.8706474,0.204410759947696,46.0181918180328,severe,8.997
isomer,131,87,HMDB0000661,Glutaric acid,HMDB0001844,Methylsuccinic acid,774636.003716553,10.118,1249598.13434955,10.118,0.999552957541957,1.613142,0.0949665355426825,3.35259689212197,severe,10.342
isomer,90.1,44,HMDB0000271,Sarcosine,HMDB0000161,L(D)-Alanine,102534.295048415,8.967,109226.470026328,8.967,0.999495524887283,1.065268,0.0576136488998374,1.00841943646955,severe,8.583
isomer,103,57,HMDB0000729,alpha-Hydroxyisobutyric acid,HMDB0000008,2-Hydroxybutyric acid,241370.004452001,6.307,254535.692116228,6.307,0.999471067226577,1.054546,0.940073481805505,0.278799315344337,slight,6.243
isotope,176.1,70,HMDB0000904,Citrulline,HMDB0003357,N2-Acetylornithine,1342421.67090237,9.317,50126.4735916163,9.351,0.999454975131481,0.03734033,0.022033587253989,0.0523190935240523,slight,9.672
isomer,151.1,89,HMDB0000508,Ribitol,HMDB0002917,D-Xylitol,281098.108826125,7.748,293605.634603404,7.748,0.999408224152507,1.044495,0.97080284480523,1.46008920184549,severe,7.716
isotope,132,88,HMDB0000191,L-Aspartic acid,HMDB0000661,Glutaric acid,372725.434807238,10.342,16432.0584707485,10.342,0.999407081069345,0.04408623,0.0446270729140438,0.0275727887005229,slight,9.958
isomer,90.1,44,HMDB0000271,Sarcosine,HMDB0000161,L(D)-Alanine,53626.3274724344,9.031,63165.4323479154,9.031,0.999347558310004,1.177881,0.0258703114951157,0.583166788025713,severe,8.583
isomer,117.1,71,HMDB0000407,2-Hydroxy-3-methylbutyric acid,HMDB0001987,2-Hydroxy-2-methylbutyric acid,1971027.39503884,4.706,1988464.68887516,4.706,0.999345137709327,1.008847,0.533656901078342,0.844248370415985,severe,4.45
