"","sample_name","anchor_accession","interf_peak_id","interf_area","interf_rt","interf_accession","source_peak_id","source_area","source_rt","transition_similarity","transition_ratio","normalized_overlap","interf_ratio"
"1","L23_c1011","HMDB0000005",246,51776.5813083806,4.514,"HMDB0000005",246,51776.5813083806,4.514,1,1,1,1
"2","L23_c1011","HMDB0000034",2058,7340.68909462612,4.836,"HMDB0000005",246,51776.5813083806,4.514,0.369068173287181,0.141776241480778,0.98511275540403,0.00158059292845555
"3","L23_c1011","HMDB0000050",3046,29664.0702929695,4.836,"HMDB0000005",246,51776.5813083806,4.514,0.387619083301028,0.572924467845621,0.990034332392019,0.00225142647593016
"4","L23_c1011","HMDB0000060",3655,43361.8507561981,4.514,"HMDB0000005",246,51776.5813083806,4.514,0.996146481140366,0.837479989224,0.194301101269709,4.89087921523348
"5","L23_c1011","HMDB0000397",18809,1133.0293078263,4.898,"HMDB0000005",246,51776.5813083806,4.514,0.38303082794273,0.0218830459484762,1,Inf
"6","L23_c1011","HMDB0000422",19444,1826.76459776556,4.866,"HMDB0000005",246,51776.5813083806,4.514,0.48576334966634,0.0352816766113888,0,0.00203490265097219
"7","L23_c1011","HMDB0000423",19704,4305.18204363703,4.129,"HMDB0000005",246,51776.5813083806,4.514,0.209665529807548,0.0831492140818536,0,0.0118798149825467
"8","L23_c1011","HMDB0000500",21828,1952.78346335133,4.578,"HMDB0000005",246,51776.5813083806,4.514,0.829754189943794,0.0377155736049968,0,0.00301492028579069
"9","L23_c1011","HMDB0000634",24420,1245.6425569851,5.122,"HMDB0000005",246,51776.5813083806,4.514,0.211483188332423,0.0240580302041587,0.548339026552189,0.000376665848359398
"10","L23_c1011","HMDB0000699",26396,687.221801584946,4.868,"HMDB0000005",246,51776.5813083806,4.514,0.383666488459012,0.013272830770573,0,4.41106524185917e-05
"11","L23_c1011","HMDB0001527",41522,536464.300265515,4.898,"HMDB0000005",246,51776.5813083806,4.514,0.246746004035195,10.3611379258577,1,1
"12","L23_c1011","HMDB0001895",43649,1897.8549191769,4.514,"HMDB0000005",246,51776.5813083806,4.514,0.721637219630063,0.036654697378981,0,7.0467882064323e-05
"13","L23_c1011","HMDB0011743",55455,8446.56587673896,4.706,"HMDB0000005",246,51776.5813083806,4.514,0.851828958907605,0.16313487030809,0,0.0373441685224721
"14","L23_c1011","HMDB0012127",55939,1426.31370676578,4.93,"HMDB0000005",246,51776.5813083806,4.514,0.202987322400508,0.0275474678073215,0,0.0005279807571235
"15","L23_c1011","HMDB0060665",60137,252.495826541938,4.356,"HMDB0000005",246,51776.5813083806,4.514,0.444858427784085,0.00487664152714287,0,0.000206869076936241
"16","L23_c1011","HMDB0255145",61134,1914.98269031604,4.514,"HMDB0000005",246,51776.5813083806,4.514,0.917738039628952,0.0369854988862713,0,0.0497239983742488
"17","L23_c1011","HMDB0304941",61607,2230.88892727269,4.676,"HMDB0000005",246,51776.5813083806,4.514,0.798416826653995,0.0430868332921703,0,0.0112444737114986
"18","L23_c1011","PBCM0000440041",62236,234.504137216085,4.802,"HMDB0000005",246,51776.5813083806,4.514,0.238136448074648,0.0045291545190939,1,Inf
"19","L23_c23","HMDB0000008",515,241370.004452001,6.307,"HMDB0000008",515,241370.004452001,6.307,1,1,1,1
"20","L23_c23","HMDB0000044",2584,432.542134418674,6.179,"HMDB0000008",515,241370.004452001,6.307,0.400489542110145,0.00179202935924331,1,Inf
"21","L23_c23","HMDB0000112",6119,827.342817606201,6.245,"HMDB0000008",515,241370.004452001,6.307,0.698269145055596,0.00342769524939346,0,0.00213513463251324
"22","L23_c23","HMDB0000223",13264,5538.72324841178,5.955,"HMDB0000008",515,241370.004452001,6.307,0.342126993486783,0.022947023848248,0,0.885603955321319
"23","L23_c23","HMDB0000223",13265,3790.82949595784,6.627,"HMDB0000008",515,241370.004452001,6.307,0.609174391274738,0.0157054705474461,0,0.606127702179676
"24","L23_c23","HMDB0000243",14552,29867.0754766171,6.243,"HMDB0000008",515,241370.004452001,6.307,0.920276763070103,0.12373979751306,0.996584096239704,1.16772029368656
"25","L23_c23","HMDB0000469",21129,78584.8014821179,6.371,"HMDB0000008",515,241370.004452001,6.307,0.769634189799133,0.32557815814991,0,0.165949829564247
"26","L23_c23","HMDB0000500",21837,91872.6092991234,6.275,"HMDB0000008",515,241370.004452001,6.307,0.683573263003985,0.380629770081449,0,0.141842963484076
"27","L23_c23","HMDB0000661",25181,5900.25997755908,5.955,"HMDB0000008",515,241370.004452001,6.307,0.385328132829273,0.0244448766156957,0,0.0158300438514761
"28","L23_c23","HMDB0000729",27879,254535.692116228,6.307,"HMDB0000008",515,241370.004452001,6.307,0.999471067226577,1.05454566607859,0.940073481805505,0.278799315344337
"29","L23_c23","HMDB0000734",28061,1080.43974292497,6.339,"HMDB0000008",515,241370.004452001,6.307,0.846827594083669,0.00447628008036032,0,0.000261452066674884
