"","accession","sample_name","rt","centwave","matchfilter","peak_id","inten","expected_peak"
"1","HMDB0000005","L23_c1011",4.514,50583.3460833333,39689.4672000001,246,50583.3460833333,TRUE
"2","HMDB0000008","L23_c23",6.307,237726.848,198546.88,515,237726.848,TRUE
"3","HMDB0000008","L24_c89",6.275,543410.176,433938.815999999,571,543410.176,TRUE
"4","HMDB0000011","L24_c45",7.236,180705.206111111,156946.688,772,180705.206111111,TRUE
"5","HMDB0000012","L22_c45",3.809,855232.704,720656.448000001,885,855232.704,TRUE
"6","HMDB0000019","L23_c23",3.553,203593.216,166821.376,1200,203593.216,TRUE
"7","HMDB0000021","L26_c89",7.622,1420088.576,1318903.616,1431,1420088.576,TRUE
"8","HMDB0000026","L23_c23",8.775,67291.3920000001,65669.8240000001,1559,67291.3920000001,TRUE
"9","HMDB0000030","L21_c67",7.11,6061663.263,5658054.65599999,1734,6061663.263,TRUE
"10","HMDB0000034","L24_c45",4.868,4564100.032,3791636.41599999,2122,4564100.032,TRUE
"11","HMDB0000043","L21_c89",12.618,933349.312000001,NA,2237,933349.312000001,TRUE
"12","HMDB0000045","L22_c45",9.672,4322595.20408332,3585677.952,2794,4322595.20408332,TRUE
"13","HMDB0000045","L24_c45",9.672,4278293.84590909,3738637.76,2861,4278293.84590909,TRUE
"14","HMDB0000050","L21_c23",4.868,13393684.992,10197922.112,2956,13393684.992,TRUE
"15","HMDB0000054","L27_c45",2.978,246139.877777778,190314.4158,3251,246139.877777778,TRUE
"16","HMDB0000056","L26_c67",9.287,52507.8872727273,51441.534,3458,52507.8872727273,TRUE
"17","HMDB0000060","L24_c1011",4.129,8910.33891666667,7170.496,3708,8910.33891666667,TRUE
"18","HMDB0000062","L21_c45",8.327,2485776.29181818,2403012.736,3843,2485776.29181818,TRUE
"19","HMDB0000064","L26_c67",8.903,2469519.936,2387136.96,4073,2469519.936,TRUE
"20","HMDB0000064","L26_c89",8.903,2952216.576,2872281.28,4077,2952216.576,TRUE
"21","HMDB0000071","L21_c89",5.538,2893148.84616667,2538327.65083333,4113,2893148.84616667,TRUE
"22","HMDB0000072","L22_c45",12.04,2480636.39318182,2283998.2674,4249,2480636.39318182,TRUE
"23","HMDB0000073","L21_c45",11.337,673122.363055556,416601.0640625,4433,673122.363055556,TRUE
"24","HMDB0000082","L22_c1011",12.456,2946.15495454546,1877.44,4638,2946.15495454546,TRUE
"25","HMDB0000085","L24_c23",6.883,2048811.06966667,1799757.8904,4749,2048811.06966667,TRUE
"26","HMDB0000086","L26_c45",8.967,10682132.224,10502304.704,4922,10682132.224,TRUE
"27","HMDB0000089","L21_c23",7.302,1051286.4,930351.231999998,4956,1051286.4,TRUE
"28","HMDB0000092","L26_c89",7.654,705095.563277778,628143.744000001,5311,705095.563277778,TRUE
"29","HMDB0000094","L22_c67",12.136,341786.2795,303306.944,5376,341786.2795,TRUE
"30","HMDB0000101","L24_c23",3.971,6419679.99241666,5446380.16,5906,6419679.99241666,TRUE
"31","HMDB0000112","L26_c45",9.351,384632.425909091,377489.4516,6218,384632.425909091,TRUE
"32","HMDB0000115","L23_c89",8.357,4443.98691666666,4128.9325,6368,4443.98691666666,TRUE
"33","HMDB0000118","L22_c67",6.691,84169.2288333333,73043.0080000001,6471,84169.2288333333,TRUE
"34","HMDB0000119","L24_c67",9.189,3203.5896,2304.256,6616,3203.5896,TRUE
"35","HMDB0000121","L27_c45",11.273,174735.104,172878.72,6680,174735.104,TRUE
"36","HMDB0000123","L26_c45",9.3835,11481.5279,11199.8184,6704,11481.5279,TRUE
"37","HMDB0000125","L26_c23",9.672,868544.105454543,794522.816000001,6873,868544.105454543,TRUE
"38","HMDB0000127","L23_c1011",10.406,369677.845416667,341430.272,6940,369677.845416667,TRUE
"39","HMDB0000130","L24_c23",6.948,2157057.56033333,1968343.6236,7213,2157057.56033333,TRUE
"40","HMDB0000133","L21_c45",7.75,1409078.43681818,1285373.824,7517,1409078.43681818,TRUE
"41","HMDB0000134","L22_c45",11.047,102768.234545455,100318.08,7621,102768.234545455,TRUE
"42","HMDB0000134","L24_c45",11.047,26733.6640909091,24988.864,7663,26733.6640909091,TRUE
"43","HMDB0000148","L26_c1011",9.832,388033.184647058,373222.912,7909,388033.184647058,TRUE
"44","HMDB0000149","L23_c67",11.529,95274.1827692308,76858.0480000001,8002,95274.1827692308,TRUE
"45","HMDB0000150","L22_c23",6.627,294377.483655172,NA,8056,294377.483655172,TRUE
"46","HMDB0000152","L21_c89",5.987,2802255.18784615,2263427.392,8112,2802255.18784615,TRUE
"47","HMDB0000156","L24_c23",10.983,1947586.318,1662783.744,8365,1947586.318,TRUE
"48","HMDB0000157","L27_c45",5.602,254440.747076923,207790.8756,8706,254440.747076923,TRUE
"49","HMDB0000159","L27_c45",6.918,616225.076999999,539907.234000001,8968,616225.076999999,TRUE
"50","HMDB0000161","L26_c67",8.967,102336.64,96679.3600000001,9080,102336.64,TRUE
"51","HMDB0000161","L27_c23",9.031,53460.0320000001,51945.152,9082,53460.0320000001,TRUE
"52","HMDB0000162","L26_c67",7.878,559115.48425,524085.184,9255,559115.48425,TRUE
"53","HMDB0000162","L26_c89",7.91,674833.733111111,624468.672000001,9259,674833.733111111,TRUE
"54","HMDB0000167","L26_c45",9.095,83435.9168181818,80180.7360000001,9379,83435.9168181818,TRUE
"55","HMDB0000168","L26_c67",9.544,163357.8244,150758.464,9537,163357.8244,TRUE
"56","HMDB0000172","L26_c23",7.27,1369363.26844445,1228745.28,9724,1369363.26844445,TRUE
"57","HMDB0000175","L27_c45",10.376,290410.970454546,256104.896,9838,290410.970454546,TRUE
"58","HMDB0000176","L24_c67",5.346,2106732.96593333,1587323.904,9929,2106732.96593333,TRUE
